Age,BestSquatKg
18.0,87.5
41.0,182.5
22.0,367.5
30.5,120.0
25.0,370.0
22.0,115.0
29.5,185.0
14.5,145.0
22.0,210.0
33.0,182.5
18.0,182.5
40.0,80.0
65.0,255.0
18.5,202.5
22.0,110.0
19.5,210.0
33.5,187.5
43.0,250.0
42.5,182.5
34.0,265.0
44.5,235.0
,120.0
24.0,145.0
29.5,185.0
23.0,162.5
28.0,105.0
24.0,230.0
22.0,297.5
17.5,142.5
22.5,130.0
25.0,242.5
39.0,-105.0
25.0,47.5
32.0,240.0
53.5,242.5
30.0,127.5
30.5,87.5
32.5,235.0
,240.0
18.5,224.5
21.0,82.5
26.5,92.5
,102.5
33.5,120.0
33.5,100.0
18.0,192.5
30.5,131.5
22.5,90.0
22.0,255.0
21.5,110.0
23.0,207.5
20.0,215.0
43.0,265.0
18.5,170.0
16.0,195.0
24.0,149.69
22.5,112.5
43.5,250.0
35.0,175.0
55.0,115.0
20.0,117.5
22.5,220.0
37.5,187.5
22.5,192.5
26.0,152.5
23.5,170.0
68.5,163.29
19.5,160.0
37.0,182.5
20.0,177.5
58.5,120.0
27.0,122.5
32.5,247.5
37.0,147.5
21.0,212.5
18.5,215.0
34.0,140.0
22.5,110.0
61.0,110.0
39.0,182.5
65.0,105.0
22.0,355.0
23.5,112.5
36.5,175.0
29.0,172.5
19.5,102.5
26.5,145.0
21.0,310.0
28.0,250.0
20.5,132.5
76.0,107.5
43.0,57.5
22.0,135.0
42.0,205.0
52.5,197.5
56.0,142.5
22.0,137.5
22.5,237.5
28.5,285.0
43.5,182.5
26.5,105.0
17.5,125.0
22.5,207.5
60.5,112.5
17.0,185.0
21.0,240.0
44.0,280.0
24.5,282.5
16.0,67.5
31.0,162.5
35.0,227.5
24.0,97.5
16.5,145.0
45.5,215.0
31.0,195.0
53.5,230.0
64.5,57.5
54.5,227.5
21.5,105.0
26.5,347.5
25.0,227.5
24.5,242.5
26.0,252.5
26.5,177.5
24.0,230.0
37.5,415.0
19.0,137.5
25.0,226.8
29.5,120.0
23.0,205.0
44.5,177.5
21.0,102.5
17.5,165.0
36.0,110.0
24.0,225.0
38.0,138.0
18.0,167.5
16.5,190.0
39.5,125.0
27.0,237.5
37.0,125.0
43.5,192.5
47.5,265.0
31.0,105.0
16.0,232.5
59.0,145.0
22.0,152.5
34.0,205.0
36.0,247.5
19.5,195.0
15.5,120.0
26.5,80.0
21.5,100.0
28.5,97.5
23.0,160.0
17.5,185.0
19.5,220.0
30.0,215.0
21.0,115.0
28.0,205.0
36.0,350.0
22.0,182.5
25.5,187.5
50.5,278.0
22.0,80.0
17.5,182.5
17.5,265.0
23.0,330.0
17.0,182.5
24.5,342.5
24.0,195.0
38.5,262.5
35.0,70.0
35.0,244.94
30.5,162.5
35.0,182.5
18.5,135.0
21.0,257.5
27.5,162.5
32.0,340.0
48.0,295.0
23.0,120.0
24.5,177.5
40.5,204.12
24.5,215.0
24.0,102.5
23.0,151.95
25.0,105.0
22.5,155.0
24.0,155.0
14.0,100.0
26.0,135.0
20.5,125.0
30.5,127.5
34.5,180.0
24.5,127.5
26.5,130.0
30.5,325.0
25.0,80.0
17.5,137.5
25.0,-207.5
57.5,210.0
27.0,250.0
26.0,202.5
,132.5
33.0,107.5
44.5,260.0
36.0,182.5
31.5,230.0
28.5,125.0
,122.5
17.5,160.0
14.0,102.5
56.0,235.0
27.0,275.0
21.5,250.0
70.0,147.5
20.0,230.0
20.5,160.0
19.5,410.5
24.5,137.5
17.5,190.0
19.5,180.0
53.0,97.5
25.0,112.5
18.0,145.0
32.0,185.0
21.5,145.0
17.0,195.0
16.5,215.0
20.0,192.5
30.0,140.0
24.5,210.0
74.5,42.5
22.0,200.0
45.0,97.5
40.0,130.0
21.5,87.5
27.0,185.0
24.5,120.0
44.0,205.0
41.0,419.57
22.5,115.0
18.0,215.0
52.5,135.5
21.0,210.0
21.5,203.0
36.5,145.0
64.0,152.5
32.5,265.0
15.5,105.0
42.0,92.5
27.5,230.0
21.5,162.5
45.0,80.0
24.0,147.42
21.0,142.5
34.0,77.5
29.0,95.0
29.0,142.5
24.0,245.0
21.0,87.5
19.5,100.0
18.0,135.0
17.5,180.0
33.0,147.5
30.0,137.5
16.5,100.0
20.5,100.0
13.5,32.5
22.0,157.5
31.0,75.0
19.5,120.0
23.0,250.0
42.0,105.0
42.0,272.16
24.5,317.5
35.0,210.0
26.0,112.5
30.5,80.0
28.0,130.0
26.0,262.5
21.0,170.0
29.0,255.0
30.0,272.5
13.5,37.5
22.5,122.5
22.5,115.0
27.0,142.5
27.5,282.5
43.0,105.0
60.5,90.0
35.5,190.0
47.0,115.0
29.5,245.0
22.5,187.5
22.0,82.5
21.5,70.0
17.5,250.0
48.5,110.0
23.0,285.0
23.0,192.5
36.5,220.0
25.0,202.5
46.0,80.0
31.0,215.0
20.5,192.5
25.0,92.5
25.0,162.5
52.0,318.0
25.0,210.0
20.5,105.0
23.0,177.5
22.0,225.0
35.0,110.0
39.0,122.5
33.0,142.5
14.0,132.5
27.5,110.0
30.5,380.0
22.0,190.0
34.0,370.0
29.0,187.5
32.0,187.5
35.0,105.0
29.5,117.5
20.5,270.0
22.5,60.0
21.0,147.5
25.0,100.0
15.0,85.0
32.5,360.0
24.0,100.0
38.0,205.0
43.0,152.5
28.0,110.0
22.5,255.0
18.5,147.5
16.5,112.5
18.0,200.0
18.0,224.53
21.5,230.0
24.5,110.0
37.5,235.0
23.5,92.5
24.0,125.0
27.0,237.5
22.0,250.0
23.5,255.0
31.5,90.0
14.0,52.16
48.5,192.5
35.0,175.0
27.0,87.5
16.0,111.13
44.0,220.0
22.5,156.49
24.5,105.0
26.0,275.0
25.5,117.5
70.0,155.0
16.0,182.5
65.0,135.0
26.0,120.0
25.5,190.0
42.0,72.5
25.5,230.0
58.0,60.0
45.0,382.5
51.0,152.5
22.5,92.5
30.0,150.0
22.0,92.5
21.0,227.5
26.0,150.0
27.0,210.92
28.0,175.0
27.0,272.5
31.0,200.0
28.0,102.06
13.5,122.5
31.5,165.0
19.0,190.0
35.5,255.0
29.0,-110.0
29.0,215.46
33.0,187.5
24.5,117.5
31.0,220.0
63.0,190.0
31.0,260.0
25.0,170.0
20.5,162.5
30.5,132.5
23.0,110.0
36.0,272.5
18.0,105.0
21.0,205.0
40.5,120.0
27.5,190.0
47.0,240.0
13.5,90.0
16.0,210.0
25.0,287.5
16.0,150.0
31.0,142.5
18.5,175.0
27.0,160.0
35.0,127.5
26.5,152.5
18.5,247.5
23.0,365.0
68.5,65.0
15.5,56.7
25.5,220.0
21.5,192.5
20.0,174.63
15.5,137.5
25.0,287.5
48.0,145.0
46.5,305.0
29.5,105.0
30.0,72.5
24.0,330.0
18.0,110.0
20.0,232.5
27.5,217.5
19.0,150.0
61.0,87.5
16.5,247.5
19.5,170.0
23.0,282.5
53.0,107.5
36.0,80.0
22.0,245.0
40.0,77.5
34.5,117.5
30.5,200.0
33.0,267.5
44.0,75.0
19.0,190.0
24.0,307.5
29.0,180.0
23.0,185.0
52.0,102.5
24.0,242.67
24.5,260.0
54.5,237.5
37.0,99.79
45.0,160.0
41.0,80.0
22.0,232.5
70.5,75.0
16.5,132.5
32.0,230.0
18.5,226.8
21.5,170.0
36.5,170.0
50.5,65.0
24.0,90.0
31.0,182.5
24.0,200.0
26.0,145.0
23.5,200.0
45.0,147.5
17.5,263.1
26.0,135.0
36.5,217.5
39.5,155.0
55.0,257.5
37.5,222.5
54.0,215.0
26.5,115.0
23.0,222.5
16.0,60.0
19.5,150.0
23.0,187.5
21.0,250.0
40.5,75.0
20.0,192.5
24.0,97.5
31.0,217.5
26.5,92.5
47.0,265.0
58.5,175.0
19.0,167.5
41.5,228.0
40.0,107.5
19.0,240.4
23.0,107.5
23.0,200.0
34.5,272.5
31.0,167.5
30.0,90.0
42.5,200.0
23.0,267.5
21.0,115.0
44.0,75.0
26.0,240.0
18.5,140.0
19.5,170.0
22.0,187.5
35.0,160.0
29.0,122.5
,112.5
23.5,155.0
37.5,212.5
26.0,249.48
20.0,155.0
43.5,185.0
17.0,115.67
38.0,150.0
28.0,170.1
33.0,179.17
18.5,185.0
25.5,125.0
29.0,160.0
29.5,165.0
17.0,127.5
22.0,110.0
19.0,172.5
14.0,125.0
29.5,165.0
21.0,102.5
22.0,77.5
50.0,267.5
40.0,142.5
19.0,190.0
20.0,130.0
32.0,165.0
32.5,130.0
20.0,202.5
22.0,97.5
17.5,270.0
19.5,230.0
26.0,237.5
26.0,92.5
23.5,180.0
22.0,208.65
29.5,190.0
30.0,325.0
25.0,165.0
26.5,150.0
32.5,257.5
21.0,197.5
22.5,217.5
28.5,97.5
77.5,75.0
35.0,145.0
34.5,235.0
21.0,145.0
30.0,315.0
40.0,75.0
32.0,82.5
21.5,107.5
,250.0
19.0,202.5
30.0,217.5
22.5,155.0
52.5,105.0
30.0,115.0
28.0,157.5
23.0,275.0
25.5,155.0
22.5,115.0
26.5,182.5
20.0,90.0
36.0,152.5
26.0,102.5
25.5,180.0
18.0,155.0
23.0,200.0
20.0,150.0
42.0,120.0
27.0,215.0
22.0,125.0
16.0,185.0
28.0,140.0
30.0,190.0
23.0,200.0
20.5,122.5
18.0,97.5
64.0,60.0
26.0,215.0
24.0,204.12
24.0,229.06
23.0,227.5
21.0,137.5
21.0,185.0
26.0,152.5
26.0,182.5
23.5,200.0
49.0,187.5
36.0,140.0
30.0,197.31
28.0,202.5
28.5,262.5
25.0,180.0
43.0,180.0
26.0,125.0
51.5,245.0
23.5,170.0
27.0,160.0
11.0,77.11
31.5,175.0
15.0,105.0
50.0,195.0
26.0,122.5
31.5,300.0
20.5,152.5
30.0,175.0
47.0,155.0
62.5,125.0
49.5,65.0
29.0,142.5
54.0,95.0
42.0,167.5
24.5,199.58
23.0,227.5
27.0,230.0
20.0,207.5
24.0,235.0
18.5,110.0
28.0,215.0
21.0,237.5
52.0,72.5
18.5,215.0
42.0,105.0
21.5,172.5
32.0,182.5
24.5,290.0
29.0,92.5
32.5,235.0
18.5,182.5
38.0,117.5
33.0,410.0
28.0,342.5
20.5,115.0
28.0,207.5
19.0,232.5
24.0,215.0
38.0,152.5
27.5,192.5
24.0,235.0
42.0,252.5
19.0,90.0
35.5,212.5
26.5,105.0
22.5,332.5
23.0,110.0
24.0,232.5
22.0,167.5
23.5,200.0
22.0,155.0
24.5,177.5
29.0,245.0
70.5,52.5
34.0,232.5
26.5,265.0
30.0,245.0
23.0,315.0
20.5,192.5
24.0,215.0
35.0,145.0
31.0,240.0
13.5,90.0
29.5,117.5
24.0,92.5
22.0,117.5
36.5,197.5
26.0,115.0
24.0,195.0
28.5,202.5
37.0,250.0
46.0,169.98
27.0,272.5
15.0,65.0
23.0,205.0
18.0,217.5
39.0,160.0
31.0,200.0
19.5,200.0
26.0,265.0
62.0,112.5
37.5,135.0
23.0,200.0
24.5,195.0
43.5,335.0
27.5,205.0
30.0,215.0
30.0,285.0
22.5,155.0
33.5,227.5
19.5,217.5
22.0,247.21
29.5,202.5
26.0,115.0
17.5,137.5
62.0,187.5
26.0,115.0
25.5,240.0
23.5,190.0
32.0,285.0
20.0,177.5
28.5,295.0
49.0,200.0
17.0,215.5
34.5,142.5
21.5,140.0
33.0,185.97
19.5,161.03
23.5,172.5
,127.5
60.0,142.88
19.0,167.5
36.0,327.5
19.5,167.5
23.0,237.5
26.0,212.5
17.5,110.0
19.0,150.0
40.0,
13.0,107.5
37.0,327.5
29.0,157.5
25.0,225.0
22.0,230.0
31.0,107.5
37.0,80.0
26.0,375.0
28.0,97.52
29.0,207.5
22.5,182.5
21.0,137.5
22.5,137.5
31.0,200.0
32.0,342.5
35.0,255.0
21.5,175.0
30.5,165.0
20.0,90.0
22.5,222.5
21.5,155.0
16.0,132.5
,175.0
60.0,155.0
23.5,162.5
29.0,287.5
22.5,190.0
25.0,102.5
23.5,172.5
22.0,192.5
27.0,272.16
20.5,265.0
28.0,120.0
18.0,87.5
28.0,270.0
21.0,115.0
24.0,122.5
17.5,287.5
27.0,112.5
36.0,142.5
28.0,232.5
23.0,87.5
35.0,122.5
33.0,387.49
21.0,145.0
35.5,215.0
27.0,232.5
28.0,242.5
22.5,
17.0,100.0
33.0,260.0
21.5,217.5
49.5,212.5
34.0,107.5
19.0,245.0
24.0,350.0
20.5,160.0
40.0,107.5
35.0,217.5
19.0,137.5
41.5,327.5
33.5,250.0
41.0,217.72
30.0,110.0
13.0,57.5
20.0,152.5
24.5,115.0
59.5,192.5
29.5,274.42
47.5,195.0
48.0,227.5
32.5,222.5
30.5,195.0
26.0,147.42
22.0,152.5
19.0,145.0
41.0,195.0
24.5,165.0
54.0,140.0
19.5,272.5
45.0,92.5
30.0,260.0
51.5,80.0
30.5,220.0
14.5,115.0
36.0,337.5
47.0,172.5
27.5,235.0
25.0,220.0
26.0,100.0
27.5,125.0
49.5,345.0
25.5,95.25
40.0,97.5
68.0,145.0
30.0,207.5
22.0,115.0
20.0,155.0
19.5,187.5
15.5,192.5
23.5,92.5
23.0,183.7
32.0,187.5
41.0,200.0
32.0,225.0
23.0,
39.0,177.5
19.5,190.0
28.0,230.0
46.5,137.5
24.0,227.5
48.0,165.0
36.0,227.5
17.5,225.0
31.5,300.0
43.0,147.5
33.0,265.0
23.5,405.0
35.0,331.12
17.0,250.0
41.0,210.0
30.5,410.0
21.0,225.0
50.5,92.5
18.0,197.5
26.0,225.0
21.5,112.5
28.0,207.5
25.0,205.0
46.0,117.5
21.0,95.0
45.0,182.5
19.0,115.0
